State; FIPS; County; pop; landAreakm2; waterAreakm2; totalAreakm2; lat; long
NV;32031;Washoe;421,407;16,323.052;621.198;16,944.250;+40.703311°;–119.710315°
NV;32033;White Pine;10,030;22,987.821;54.679;23,042.499;+39.417804°;–114.900945°
NV;32510;Carson City [9];55,274;374.673;32.587;407.260;+39.153447°;–119.743442°
NH;33001;Belknap;60,088;1,036.596;177.025;1,213.621;+43.519109°;–71.425366°
NH;33003;Carroll;47,818;2,411.437;158.956;2,570.393;+43.867567°;–71.201665°
NH;33005;Cheshire;77,117;1,830.242;58.115;1,888.357;+42.925455°;–72.248217°
NH;33007;Coos;33,055;4,648.213;90.778;4,738.990;+44.652419°;–71.289383°
NH;33009;Grafton;89,118;4,425.641;105.662;4,531.303;+43.926488°;–71.842264°
NH;33011;Hillsborough;400,721;2,269.189;41.637;2,310.825;+42.911643°;–71.723101°
NH;33013;Merrimack;146,445;2,419.350;57.836;2,477.186;+43.299485°;–71.680130°
NH;33015;Rockingham;295,223;1,799.317;260.008;2,059.325;+42.989360°;–71.099437°
NH;33017;Strafford;123,143;955.641;38.919;994.559;+43.293177°;–71.035927°
NH;33019;Sullivan;43,742;1,391.635;38.022;1,429.658;+43.361188°;–72.222084°
NJ;34001;Atlantic;274,549;1,439.268;300.755;1,740.023;+39.469354°;–74.633758°
NJ;34003;Bergen;905,116;603.490;35.385;638.875;+40.959090°;–74.074522°
NJ;34005;Burlington;448,734;2,068.303;55.069;2,123.372;+39.875786°;–74.663006°
NJ;34007;Camden;513,657;573.068;15.617;588.685;+39.802352°;–74.961251°
NJ;34009;Cape May;97,265;651.187;955.684;1,606.871;+39.086143°;–74.847716°
NJ;34011;Cumberland;156,898;1,252.784;502.246;1,755.030;+39.328387°;–75.121644°
NJ;34013;Essex;783,969;326.888;8.854;335.742;+40.787217°;–74.246136°
NJ;34015;Gloucester;288,288;833.990;39.296;873.286;+39.721019°;–75.143708°
NJ;34017;Hudson;634,266;119.634;41.756;161.390;+40.731384°;–74.078627°
NJ;34019;Hunterdon;128,349;1,108.046;24.911;1,132.957;+40.565283°;–74.911970°
NJ;34021;Mercer;366,513;581.601;11.218;592.819;+40.282503°;–74.703724°
NJ;34023;Middlesex;809,858;800.083;36.034;836.118;+40.439593°;–74.407585°
NJ;34025;Monmouth;630,380;1,214.167;509.002;1,723.169;+40.287056°;–74.152446°
NJ;34027;Morris;492,276;1,191.852;55.550;1,247.403;+40.858581°;–74.547427°
NJ;34029;Ocean;576,567;1,628.535;742.342;2,370.877;+39.865850°;–74.263027°
